group,any_search_results,session_length
b,True,0.0
a,True,698.0
a,True,83.0
a,True,150.0
b,True,0.0
a,True,143.0
b,True,0.0
b,True,0.0
a,True,37.0
a,False,39.0
b,False,0.0
b,False,0.0
b,True,0.0
a,True,27.0
a,True,446.0
b,True,0.0
b,True,0.0
a,True,86.0
a,True,51.0
a,True,39.0
b,False,0.0
b,True,0.0
a,True,456.0
b,True,0.0
b,False,0.0
a,True,612.0
b,True,0.0
b,True,55.0
a,True,111.0
b,True,0.0
b,True,0.0
b,True,19.0
b,True,0.0
a,True,215.0
b,True,366.0
b,True,247.0
a,True,719.0
a,True,13.0
b,True,0.0
b,True,0.0
b,True,0.0
b,False,0.0
a,True,219.0
a,True,485.0
b,True,137.0
a,True,298.0
b,True,0.0
b,False,0.0
b,True,132.0
b,True,0.0
a,True,262.0
a,True,181.0
a,True,31.0
a,True,430.0
b,True,431.0
b,True,0.0
b,True,0.0
b,False,0.0
a,True,7.0
b,False,0.0
a,True,649.0
b,True,239.0
a,True,471.0
b,True,0.0
a,True,52.0
b,True,0.0
b,False,0.0
b,True,0.0
a,True,36.0
a,True,58.0
a,True,27.0
a,False,36.0
b,True,427.0
a,True,4.0
b,True,7.0
b,True,0.0
a,True,584.0
a,True,13.0
b,True,424.0
a,True,29.0
b,True,100.0
b,False,0.0
a,True,570.0
b,True,5.0
b,False,22.0
b,True,0.0
a,False,111.0
a,True,494.0
b,True,0.0
a,True,783.0
b,True,0.0
b,True,61.0
b,True,0.0
b,True,0.0
b,True,0.0
b,False,0.0
b,False,0.0
a,True,45.0
a,True,236.0
b,True,0.0
a,True,43.0
b,True,0.0
b,True,0.0
a,True,33.0
b,True,1.0
b,True,14.0
a,True,35.0
a,True,440.0
b,True,0.0
b,True,0.0
a,True,431.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,277.0
a,True,455.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,9.0
b,True,0.0
a,False,7.0
b,True,0.0
b,True,0.0
a,True,96.0
a,True,171.0
b,True,0.0
a,True,47.0
a,True,12.0
b,True,0.0
a,True,849.0
b,True,0.0
a,True,661.0
b,True,9.0
a,True,46.0
a,True,158.0
b,True,0.0
b,True,430.0
b,False,45.0
a,True,33.0
a,False,76.0
b,True,0.0
a,True,433.0
b,True,446.0
a,True,103.0
a,True,65.0
b,False,0.0
a,True,1804.0
a,True,697.0
a,True,484.0
b,True,432.0
b,False,0.0
a,True,435.0
b,True,0.0
b,False,0.0
a,True,173.0
a,True,196.0
a,True,545.0
b,True,0.0
b,True,44.0
b,True,4.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,472.0
a,True,987.0
b,True,0.0
a,True,326.0
a,False,16.0
b,True,0.0
a,True,558.0
b,True,0.0
a,True,54.0
a,True,245.0
a,True,92.0
a,True,28.0
a,True,159.0
b,True,0.0
b,False,0.0
a,True,102.0
a,True,171.0
b,True,72.0
b,True,0.0
a,True,9.0
a,True,675.0
a,True,100.0
a,True,771.0
b,True,214.0
a,True,163.0
b,True,0.0
b,True,0.0
a,True,3.0
b,False,0.0
b,True,0.0
a,True,205.0
a,True,755.0
a,True,321.0
b,True,0.0
a,True,94.0
b,True,41.0
b,True,0.0
a,True,7.0
a,False,53.0
a,True,330.0
b,True,0.0
a,True,319.0
b,True,0.0
a,True,16.0
a,True,12.0
b,False,0.0
a,True,51.0
b,True,19.0
b,True,0.0
a,True,66.0
b,True,410.0
a,False,42.0
b,False,0.0
b,False,0.0
a,True,520.0
b,True,0.0
b,False,0.0
b,True,0.0
b,False,0.0
b,True,0.0
a,True,158.0
b,True,8.0
a,True,498.0
b,True,0.0
a,True,108.0
b,True,18.0
a,True,154.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,460.0
b,True,8.0
a,True,13.0
b,False,0.0
b,True,0.0
b,True,11.0
b,True,0.0
b,True,0.0
a,True,62.0
a,True,210.0
b,True,0.0
a,True,253.0
b,True,0.0
a,True,686.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,6.0
b,True,0.0
a,True,309.0
a,False,32.0
b,True,0.0
b,True,261.0
a,True,9.0
a,True,151.0
b,True,0.0
b,True,0.0
a,True,173.0
b,True,0.0
a,True,13.0
a,True,479.0
a,True,10.0
b,False,0.0
a,True,3.0
b,False,0.0
b,True,0.0
a,True,2.0
b,False,0.0
a,True,16.0
b,True,0.0
a,True,462.0
b,True,0.0
b,True,0.0
b,True,465.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,0.0
b,False,0.0
a,True,19.0
a,True,214.0
a,True,37.0
a,True,558.0
b,True,13.0
b,True,425.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,95.0
a,True,22.0
b,True,0.0
a,True,1060.0
a,True,101.0
a,True,1525.0
b,True,12.0
b,False,0.0
b,True,35.0
b,True,11.0
a,True,21.0
a,True,103.0
b,True,0.0
b,True,438.0
b,True,462.0
a,True,25.0
b,True,0.0
a,True,342.0
a,True,33.0
b,True,0.0
a,True,748.0
b,True,0.0
b,True,0.0
a,True,432.0
a,True,61.0
a,True,130.0
b,True,0.0
b,False,11.0
b,True,0.0
b,True,0.0
b,False,27.0
a,True,62.0
a,True,153.0
a,True,87.0
a,True,582.0
b,True,427.0
a,True,478.0
a,True,46.0
a,True,67.0
b,True,0.0
a,True,54.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,42.0
a,True,43.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,24.0
b,False,0.0
b,True,0.0
b,True,0.0
a,True,54.0
a,True,107.0
b,True,2.0
b,True,22.0
a,True,3.0
b,True,0.0
b,True,305.0
b,True,4.0
a,True,331.0
a,True,197.0
b,True,0.0
b,True,35.0
b,True,0.0
a,True,364.0
b,True,0.0
a,True,165.0
b,True,0.0
a,True,24.0
a,False,43.0
b,True,0.0
b,True,0.0
a,True,117.0
a,True,63.0
b,True,0.0
b,True,61.0
b,True,0.0
a,True,424.0
a,False,5.0
a,True,311.0
a,True,96.0
a,True,54.0
b,True,5.0
b,False,0.0
a,True,919.0
a,True,58.0
b,True,14.0
a,True,10.0
b,True,423.0
b,True,0.0
b,False,0.0
b,True,0.0
b,True,27.0
b,True,0.0
a,True,48.0
a,True,17.0
b,True,0.0
a,True,130.0
b,True,0.0
a,True,22.0
a,True,431.0
a,True,454.0
b,True,55.0
b,True,0.0
a,True,15.0
b,True,7.0
b,True,0.0
a,True,638.0
b,True,431.0
b,True,0.0
b,True,0.0
a,True,458.0
b,True,189.0
a,True,62.0
a,True,210.0
b,True,0.0
a,True,128.0
a,True,1.0
b,True,0.0
b,True,0.0
a,True,10.0
a,True,186.0
b,True,0.0
a,True,47.0
b,True,0.0
a,True,466.0
b,False,0.0
b,True,0.0
b,True,0.0
b,True,0.0
a,True,25.0
a,True,3.0
b,True,0.0
a,True,57.0
a,True,612.0
a,True,267.0
a,True,243.0
a,True,84.0
a,True,63.0
a,True,554.0
a,True,718.0
b,True,0.0
